BottomTier,MiddleTier,TopTier,Lstate,Date,B_30DayChange,B_60DayChange,B_90DayChange,M_30DayChange,M_60DayChange,M_90DayChange,T_30DayChange,T_60DayChange,T_90DayChange,B_PrincipalMonthly,B_AvgMortgage,B_InterestMonthly,M_PrincipalMonthly,M_AvgMortgage,M_InterestMonthly,T_PrincipalMonthly,T_AvgMortgage,T_InterestMonthly,CityName,Avg_AggMortgage
50649,124420,198192,AR,1/1/2014,10,11,36,-36,-120,-123,-82,-251,-282,140,436.1441667,296.1441667,345,1071.394444,726.3944444,550,1706.653333,1156.653333,Little Rock,1071.397315
50719,124541,198364,AR,2/1/2014,70,80,81,121,85,1,172,90,-79,140,436.7469444,296.7469444,345,1072.436389,727.4363888,551,1708.134444,1157.134444,Little Rock,1072.439259
50846,124831,198816,AR,3/1/2014,127,197,207,290,411,375,452,624,542,141,437.8405555,296.8405555,346,1074.933611,728.9336111,552,1712.026667,1160.026667,Little Rock,1074.933611
50973,125116,199260,AR,4/1/2014,127,254,324,285,575,696,444,896,1068,141,438.9341667,297.9341667,347,1077.387778,730.3877778,553,1715.85,1162.85,Little Rock,1077.390648
51080,125354,199628,AR,5/1/2014,107,234,361,238,523,813,368,812,1264,141,439.8555555,298.8555555,348,1079.437222,731.4372222,554,1719.018889,1165.018889,Little Rock,1079.437222
51148,124479,197810,OK,1/1/2014,136,198,293,338,511,750,539,823,1206,142,440.4411111,298.4411111,345,1071.9025,726.9025,549,1703.363889,1154.363889,Tulsa,1071.9025
51148,124479,197810,OK,1/1/2014,136,198,293,338,511,750,539,823,1206,142,440.4411111,298.4411111,345,1071.9025,726.9025,549,1703.363889,1154.363889,Oklahoma City,1071.9025
51156,125487,199819,AR,6/1/2014,76,183,310,133,371,656,191,559,1003,142,440.51,298.51,348,1080.5825,732.5825,555,1720.663611,1165.663611,Little Rock,1080.58537
51205,125553,199901,AR,7/1/2014,49,125,232,66,199,437,82,273,641,142,440.9319444,298.9319444,348,1081.150833,733.1508333,555,1721.369722,1166.369722,Little Rock,1081.150833
51263,125631,200000,AR,8/1/2014,58,107,183,78,144,277,99,181,372,142,441.4313888,299.4313888,348,1081.8225,733.8225,555,1722.222222,1167.222222,Little Rock,1081.82537
51292,124805,198318,OK,2/1/2014,144,280,342,326,664,837,508,1047,1331,142,441.6811111,299.6811111,346,1074.709722,728.7097222,550,1707.738333,1157.738333,Tulsa,1074.709722
51292,124805,198318,OK,2/1/2014,144,280,342,326,664,837,508,1047,1331,142,441.6811111,299.6811111,346,1074.709722,728.7097222,550,1707.738333,1157.738333,Oklahoma City,1074.709722
51345,125766,200188,AR,9/1/2014,82,140,189,135,213,279,188,287,369,142,442.1375,300.1375,349,1082.985,733.985,556,1723.841111,1167.841111,Little Rock,1082.98787
51442,125095,198749,OK,3/1/2014,150,294,430,290,616,954,431,939,1478,142,442.9727778,300.9727778,347,1077.206944,730.2069444,552,1711.449722,1159.449722,Tulsa,1077.209815
51442,125095,198749,OK,3/1/2014,150,294,430,290,616,954,431,939,1478,142,442.9727778,300.9727778,347,1077.206944,730.2069444,552,1711.449722,1159.449722,Oklahoma City,1077.209815
51465,126027,200590,AR,10/1/2014,120,202,260,261,396,474,402,590,689,142,443.1708333,301.1708333,350,1085.2325,735.2325,557,1727.302778,1170.302778,Little Rock,1085.23537
51546,125280,199015,OK,4/1/2014,104,254,398,185,475,801,266,697,1205,143,443.8683333,300.8683333,348,1078.8,730.8,552,1713.740278,1161.740278,Tulsa,1078.80287
51546,125280,199015,OK,4/1/2014,104,254,398,185,475,801,266,697,1205,143,443.8683333,300.8683333,348,1078.8,730.8,552,1713.740278,1161.740278,Oklahoma City,1078.80287
51592,126320,201048,AR,11/1/2014,127,247,329,293,554,689,458,860,1048,143,444.2644444,301.2644444,350,1087.755556,737.7555555,558,1731.246667,1173.246667,Little Rock,1087.755556
51698,125597,199497,OK,5/1/2014,152,256,406,317,502,792,482,748,1179,143,445.1772222,302.1772222,348,1081.529722,733.5297222,554,1717.890833,1163.890833,Tulsa,1081.532592
51698,125597,199497,OK,5/1/2014,152,256,406,317,502,792,482,748,1179,143,445.1772222,302.1772222,348,1081.529722,733.5297222,554,1717.890833,1163.890833,Oklahoma City,1081.532592
