Lstate,CityName,Date,R_Annual,R_Monthly,R_PriorMonth,R_DiffPrevMonth,R_60DayDiff,R_60DayChange,R_90DayDiff,R_90DayChange
AL,Birmingham,2014-01-01,11088,924,,,,,,
AL,Birmingham,2014-02-01,11328,944,924,20,,,,
AL,Birmingham,2014-03-01,11244,937,944,-7,924,13,,
AL,Birmingham,2014-04-01,11220,935,937,-2,944,-9,924,11
AL,Birmingham,2014-05-01,11244,937,935,2,937,0,944,-7
AL,Birmingham,2014-06-01,11412,951,937,14,935,16,937,14
AL,Birmingham,2014-07-01,11472,956,951,5,937,19,935,21
AL,Birmingham,2014-08-01,11568,964,956,8,951,13,937,27
AL,Birmingham,2014-09-01,11688,974,964,10,956,18,951,23
AL,Birmingham,2014-10-01,11544,962,974,-12,964,-2,956,6
AL,Birmingham,2014-11-01,11520,960,962,-2,974,-14,964,-4
AL,Birmingham,2014-12-01,11568,964,960,4,962,2,974,-10
AL,Birmingham,2015-01-01,11604,967,964,3,960,7,962,5
AL,Birmingham,2015-02-01,11628,969,967,2,964,5,960,9
AL,Birmingham,2015-03-01,11640,970,969,1,967,3,964,6
AL,Birmingham,2015-04-01,11688,974,970,4,969,5,967,7
AL,Birmingham,2015-05-01,11700,975,974,1,970,5,969,6
AL,Birmingham,2015-06-01,11676,973,975,-2,974,-1,970,3
AL,Birmingham,2015-07-01,11748,979,973,6,975,4,974,5
AL,Birmingham,2015-08-01,11784,982,979,3,973,9,975,7
AL,Birmingham,2015-09-01,11832,986,982,4,979,7,973,13
AL,Birmingham,2015-10-01,11796,983,986,-3,982,1,979,4
AL,Birmingham,2015-11-01,11856,988,983,5,986,2,982,6
AL,Birmingham,2015-12-01,11868,989,988,1,983,6,986,3
AL,Birmingham,2016-01-01,11892,991,989,2,988,3,983,8
AL,Birmingham,2016-02-01,11904,992,991,1,989,3,988,4
AL,Birmingham,2016-03-01,11880,990,992,-2,991,-1,989,1
AL,Birmingham,2016-04-01,11976,998,990,8,992,6,991,7
AL,Birmingham,2016-05-01,11952,996,998,-2,990,6,992,4
AL,Birmingham,2016-06-01,11952,996,996,0,998,-2,990,6
AL,Birmingham,2016-07-01,11988,999,996,3,996,3,998,1
AL,Birmingham,2016-08-01,11976,998,999,-1,996,2,996,2
AL,Birmingham,2016-09-01,11988,999,998,1,999,0,996,3
AL,Birmingham,2016-10-01,12084,1007,999,8,998,9,999,8
AL,Birmingham,2016-11-01,12000,1000,1007,-7,999,1,998,2
AL,Birmingham,2016-12-01,11976,998,1000,-2,1007,-9,999,-1
AL,Birmingham,2017-01-01,12000,1000,998,2,1000,0,1007,-7
AL,Birmingham,2017-02-01,12024,1002,1000,2,998,4,1000,2
AL,Birmingham,2017-03-01,12084,1007,1002,5,1000,7,998,9
AL,Birmingham,2017-04-01,12048,1004,1007,-3,1002,2,1000,4
AL,Birmingham,2017-05-01,12120,1010,1004,6,1007,3,1002,8
