Lstate,CityName,Date,R_Annual,R_Monthly,R_PriorMonth,R_DiffPrevMonth,R_60DayDiff,R_60DayChange,R_90DayDiff,R_90DayChange
TX,Austin,2014-01-01,13536,1128,,,,,,
TX,Dallas-Fort Worth,2014-01-01,13212,1101,1128,-27,,,,
TX,El Paso,2014-01-01,11916,993,1101,-108,1128,-135,,
TX,Houston,2014-01-01,13668,1139,993,146,1101,38,1128,11
TX,San Antonio,2014-01-01,11556,963,1139,-176,993,-30,1101,-138
TX,San Antonio,2014-02-01,11496,958,963,-5,1139,-181,993,-35
TX,Houston,2014-02-01,13548,1129,958,171,963,166,1139,-10
TX,El Paso,2014-02-01,11940,995,1129,-134,958,37,963,32
TX,Dallas-Fort Worth,2014-02-01,13116,1093,995,98,1129,-36,958,135
TX,Austin,2014-02-01,13440,1120,1093,27,995,125,1129,-9
TX,Austin,2014-03-01,13488,1124,1120,4,1093,31,995,129
TX,Dallas-Fort Worth,2014-03-01,13236,1103,1124,-21,1120,-17,1093,10
TX,El Paso,2014-03-01,12024,1002,1103,-101,1124,-122,1120,-118
TX,Houston,2014-03-01,13776,1148,1002,146,1103,45,1124,24
TX,San Antonio,2014-03-01,11628,969,1148,-179,1002,-33,1103,-134
TX,San Antonio,2014-04-01,11724,977,969,8,1148,-171,1002,-25
TX,Houston,2014-04-01,14184,1182,977,205,969,213,1148,34
TX,El Paso,2014-04-01,12120,1010,1182,-172,977,33,969,41
TX,Dallas-Fort Worth,2014-04-01,13428,1119,1010,109,1182,-63,977,142
TX,Austin,2014-04-01,13704,1142,1119,23,1010,132,1182,-40
TX,Austin,2014-05-01,13980,1165,1142,23,1119,46,1010,155
TX,Dallas-Fort Worth,2014-05-01,13656,1138,1165,-27,1142,-4,1119,19
TX,El Paso,2014-05-01,12180,1015,1138,-123,1165,-150,1142,-127
TX,Houston,2014-05-01,14604,1217,1015,202,1138,79,1165,52
TX,San Antonio,2014-05-01,11928,994,1217,-223,1015,-21,1138,-144
TX,San Antonio,2014-06-01,12060,1005,994,11,1217,-212,1015,-10
TX,Houston,2014-06-01,14856,1238,1005,233,994,244,1217,21
TX,El Paso,2014-06-01,12216,1018,1238,-220,1005,13,994,24
TX,Dallas-Fort Worth,2014-06-01,13848,1154,1018,136,1238,-84,1005,149
TX,Austin,2014-06-01,14196,1183,1154,29,1018,165,1238,-55
TX,Austin,2014-07-01,14544,1212,1183,29,1154,58,1018,194
TX,Dallas-Fort Worth,2014-07-01,13956,1163,1212,-49,1183,-20,1154,9
TX,El Paso,2014-07-01,12108,1009,1163,-154,1212,-203,1183,-174
TX,Houston,2014-07-01,15036,1253,1009,244,1163,90,1212,41
TX,San Antonio,2014-07-01,12060,1005,1253,-248,1009,-4,1163,-158
TX,San Antonio,2014-08-01,12144,1012,1005,7,1253,-241,1009,3
TX,Houston,2014-08-01,15120,1260,1012,248,1005,255,1253,7
TX,El Paso,2014-08-01,12228,1019,1260,-241,1012,7,1005,14
TX,Dallas-Fort Worth,2014-08-01,14028,1169,1019,150,1260,-91,1012,157
TX,Austin,2014-08-01,14580,1215,1169,46,1019,196,1260,-45
TX,Austin,2014-09-01,14592,1216,1215,1,1169,47,1019,197
TX,Dallas-Fort Worth,2014-09-01,14028,1169,1216,-47,1215,-46,1169,0
TX,El Paso,2014-09-01,12108,1009,1169,-160,1216,-207,1215,-206
TX,Houston,2014-09-01,15132,1261,1009,252,1169,92,1216,45
TX,San Antonio,2014-09-01,12204,1017,1261,-244,1009,8,1169,-152
TX,San Antonio,2014-10-01,12072,1006,1017,-11,1261,-255,1009,-3
TX,Houston,2014-10-01,15168,1264,1006,258,1017,247,1261,3
TX,El Paso,2014-10-01,12120,1010,1264,-254,1006,4,1017,-7
TX,Dallas-Fort Worth,2014-10-01,14004,1167,1010,157,1264,-97,1006,161
TX,Austin,2014-10-01,14496,1208,1167,41,1010,198,1264,-56
TX,Austin,2014-11-01,14448,1204,1208,-4,1167,37,1010,194
TX,Dallas-Fort Worth,2014-11-01,14016,1168,1204,-36,1208,-40,1167,1
TX,El Paso,2014-11-01,12084,1007,1168,-161,1204,-197,1208,-201
TX,Houston,2014-11-01,15096,1258,1007,251,1168,90,1204,54
TX,San Antonio,2014-11-01,12108,1009,1258,-249,1007,2,1168,-159
TX,San Antonio,2014-12-01,11964,997,1009,-12,1258,-261,1007,-10
TX,Houston,2014-12-01,15108,1259,997,262,1009,250,1258,1
TX,El Paso,2014-12-01,12096,1008,1259,-251,997,11,1009,-1
TX,Dallas-Fort Worth,2014-12-01,14064,1172,1008,164,1259,-87,997,175
TX,Austin,2014-12-01,14520,1210,1172,38,1008,202,1259,-49
TX,Austin,2015-01-01,14592,1216,1210,6,1172,44,1008,208
TX,Dallas-Fort Worth,2015-01-01,14064,1172,1216,-44,1210,-38,1172,0
TX,El Paso,2015-01-01,12120,1010,1172,-162,1216,-206,1210,-200
TX,Houston,2015-01-01,15144,1262,1010,252,1172,90,1216,46
TX,San Antonio,2015-01-01,12108,1009,1262,-253,1010,-1,1172,-163
TX,San Antonio,2015-02-01,12192,1016,1009,7,1262,-246,1010,6
TX,Houston,2015-02-01,15216,1268,1016,252,1009,259,1262,6
TX,El Paso,2015-02-01,12180,1015,1268,-253,1016,-1,1009,6
TX,Dallas-Fort Worth,2015-02-01,14160,1180,1015,165,1268,-88,1016,164
TX,Austin,2015-02-01,14712,1226,1180,46,1015,211,1268,-42
TX,Austin,2015-03-01,14784,1232,1226,6,1180,52,1015,217
TX,Dallas-Fort Worth,2015-03-01,14316,1193,1232,-39,1226,-33,1180,13
TX,El Paso,2015-03-01,12168,1014,1193,-179,1232,-218,1226,-212
TX,Houston,2015-03-01,15324,1277,1014,263,1193,84,1232,45
TX,San Antonio,2015-03-01,12312,1026,1277,-251,1014,12,1193,-167
TX,San Antonio,2015-04-01,12432,1036,1026,10,1277,-241,1014,22
TX,Houston,2015-04-01,15420,1285,1036,249,1026,259,1277,8
TX,El Paso,2015-04-01,12228,1019,1285,-266,1036,-17,1026,-7
TX,Dallas-Fort Worth,2015-04-01,14424,1202,1019,183,1285,-83,1036,166
TX,Austin,2015-04-01,14940,1245,1202,43,1019,226,1285,-40
TX,Austin,2015-05-01,15096,1258,1245,13,1202,56,1019,239
TX,Dallas-Fort Worth,2015-05-01,14532,1211,1258,-47,1245,-34,1202,9
TX,El Paso,2015-05-01,12276,1023,1211,-188,1258,-235,1245,-222
TX,Houston,2015-05-01,15552,1296,1023,273,1211,85,1258,38
TX,San Antonio,2015-05-01,12564,1047,1296,-249,1023,24,1211,-164
TX,San Antonio,2015-06-01,12636,1053,1047,6,1296,-243,1023,30
