StateName,Lstate,Date,BottomTier,B_PriorMonth,B_DiffPrevMonth,B_60DayDiff,B_60DayChange,B_90DayDiff,B_90DayChange,MiddleTier,M_PriorMonth,M_DiffPrevMonth,M_60DayDiff,M_60DayChange,M_90DayDiff,M_90DayChange,TopTier,T_PriorMonth,T_DiffPrevMonth,T_60DayDiff,T_60DayChange,T_90DayDiff,T_90DayChange,B_PrincipalMonthly,B_AvgMortgage,M_PrincipalMonthly,M_AvgMortgage,T_PrincipalMonthly,T_AvgMortgage,B_InterestMonthly,M_InterestMonthly,T_InterestMonthly,B_AvgAnnual,M_AvgAnnual,T_AvgAnnual
Texas,TX,1996-01-01,54251,,,,,,,122436,,,,,,,190621,,,,,,,150,467.161388833,340,1054.310000000,529,1641.458611083,317.161388833,714.310000000,1112.458611083,5605.936665996,12651.720000000,19697.503332996
Texas,TX,1996-02-01,54289,54251,38,,,,,122457,122436,21,,,,,190626,190621,5,,,,,150,467.488611083,340,1054.490833333,529,1641.501666666,317.488611083,714.490833333,1112.501666666,5609.863332996,12653.889999996,19698.019999992
Texas,TX,1996-03-01,54317,54289,28,54251,66,,,122486,122457,29,122436,50,,,190655,190626,29,190621,34,,,150,467.729722166,340,1054.740555500,529,1641.751388833,317.729722166,714.740555500,1112.751388833,5612.756665992,12656.886666000,19701.016665996
Texas,TX,1996-04-01,54421,54317,104,54289,132,54251,170,122622,122486,136,122457,165,122436,186,190823,190655,168,190626,197,190621,202,151,468.625277750,340,1055.911666666,530,1643.198055500,317.625277750,715.911666666,1113.198055500,5623.503333000,12670.939999992,19718.376666000
Texas,TX,1996-05-01,54516,54421,95,54317,199,54289,227,122779,122622,157,122486,293,122457,322,191042,190823,219,190655,387,190626,416,151,469.443333333,341,1057.263611083,530,1645.083888833,318.443333333,716.263611083,1115.083888833,5633.319999996,12687.163332996,19741.006665996
Texas,TX,1996-06-01,54607,54516,91,54421,186,54317,290,122908,122779,129,122622,286,122486,422,191210,191042,168,190823,387,190655,555,151,470.226944416,341,1058.374444416,531,1646.530555500,319.226944416,717.374444416,1115.530555500,5642.723332992,12700.493332992,19758.366666000
Texas,TX,1996-07-01,54670,54607,63,54516,154,54421,249,122984,122908,76,122779,205,122622,362,191298,191210,88,191042,256,190823,475,151,470.769444416,341,1059.028888833,531,1647.288333333,319.769444416,718.028888833,1116.288333333,5649.233332992,12708.346665996,19767.459999996
Texas,TX,1996-08-01,54767,54670,97,54607,160,54516,251,123119,122984,135,122908,211,122779,340,191472,191298,174,191210,262,191042,430,152,471.604722166,341,1060.191388833,531,1648.786666666,319.604722166,719.191388833,1117.786666666,5659.256665992,12722.296665996,19785.439999992
Texas,TX,1996-09-01,54879,54767,112,54670,209,54607,272,123300,123119,181,122984,316,122908,392,191722,191472,250,191298,424,191210,512,152,472.569166666,342,1061.750000000,532,1650.939444416,320.569166666,719.750000000,1118.939444416,5670.829999992,12741.000000000,19811.273332992
Texas,TX,1996-10-01,55020,54879,141,54767,253,54670,350,123558,123300,258,123119,439,122984,574,192096,191722,374,191472,624,191298,798,152,473.783333333,343,1063.971666666,533,1654.160000000,321.783333333,720.971666666,1121.160000000,5685.399999996,12767.659999992,19849.920000000
Texas,TX,1996-11-01,55170,55020,150,54879,291,54767,403,123822,123558,264,123300,522,123119,703,192475,192096,379,191722,753,191472,1003,153,475.075000000,343,1066.245000000,534,1657.423611083,322.075000000,723.245000000,1123.423611083,5700.900000000,12794.940000000,19889.083332996
Texas,TX,1996-12-01,55329,55170,159,55020,309,54879,450,124112,123822,290,123558,554,123300,812,192895,192475,420,192096,799,191722,1173,153,476.444166666,344,1068.742222166,535,1661.040277750,323.444166666,724.742222166,1126.040277750,5717.329999992,12824.906665992,19932.483333000
Texas,TX,1997-01-01,55355,55329,26,55170,185,55020,335,124157,124112,45,123822,335,123558,599,192959,192895,64,192475,484,192096,863,153,476.668055500,344,1069.129722166,535,1661.591388833,323.668055500,725.129722166,1126.591388833,5720.016666000,12829.556665992,19939.096665996
Texas,TX,1997-02-01,55359,55355,4,55329,30,55170,189,124184,124157,27,124112,72,123822,362,193009,192959,50,192895,114,192475,534,153,476.702500000,344,1069.362222166,536,1662.021944416,323.702500000,725.362222166,1126.021944416,5720.430000000,12832.346665992,19944.263332992
Texas,TX,1997-03-01,55368,55359,9,55355,13,55329,39,124191,124184,7,124157,34,124112,79,193015,193009,6,192959,56,192895,120,153,476.780000000,344,1069.422500000,536,1662.073611083,323.780000000,725.422500000,1126.073611083,5721.360000000,12833.070000000,19944.883332996
Texas,TX,1997-04-01,55461,55368,93,55359,102,55355,106,124354,124191,163,124184,170,124157,197,193247,193015,232,193009,238,192959,288,154,477.580833333,345,1070.826111083,536,1664.071388833,323.580833333,725.826111083,1128.071388833,5730.969999996,12849.913332996,19968.856665996
Texas,TX,1997-05-01,55547,55461,86,55368,179,55359,188,124461,124354,107,124191,270,124184,277,193376,193247,129,193015,361,193009,367,154,478.321388833,345,1071.747500000,537,1665.182222166,324.321388833,726.747500000,1128.182222166,5739.856665996,12860.970000000,19982.186665992
Texas,TX,1997-06-01,55647,55547,100,55461,186,55368,279,124625,124461,164,124354,271,124191,434,193603,193376,227,193247,356,193015,588,154,479.182500000,346,1073.159722166,537,1667.136944416,325.182500000,727.159722166,1130.136944416,5750.190000000,12877.916665992,20005.643332992
Texas,TX,1997-07-01,55759,55647,112,55547,212,55461,298,124807,124625,182,124461,346,124354,453,193856,193603,253,193376,480,193247,609,154,480.146944416,346,1074.726944416,538,1669.315555500,326.146944416,728.726944416,1131.315555500,5761.763332992,12896.723332992,20031.786666000
Texas,TX,1997-08-01,55873,55759,114,55647,226,55547,326,125012,124807,205,124625,387,124461,551,194152,193856,296,193603,549,193376,776,155,481.128611083,347,1076.492222166,539,1671.864444416,326.128611083,729.492222166,1132.864444416,5773.543332996,12917.906665992,20062.373332992
Texas,TX,1997-09-01,55994,55873,121,55759,235,55647,347,125216,125012,204,124807,409,124625,591,194439,194152,287,193856,583,193603,836,155,482.170555500,347,1078.248888833,540,1674.335833333,327.170555500,731.248888833,1134.335833333,5786.046666000,12938.986665996,20092.029999996
Texas,TX,1997-10-01,56129,55994,135,55873,256,55759,370,125440,125216,224,125012,428,124807,633,194751,194439,312,194152,599,193856,895,155,483.333055500,348,1080.177777750,540,1677.022500000,328.333055500,732.177777750,1137.022500000,5799.996666000,12962.133333000,20124.270000000
Texas,TX,1997-11-01,56269,56129,140,55994,275,55873,396,125693,125440,253,125216,477,125012,681,195117,194751,366,194439,678,194152,965,156,484.538611083,349,1082.356388833,541,1680.174166666,328.538611083,733.356388833,1139.174166666,5814.463332996,12988.276665996,20162.089999992
Texas,TX,1997-12-01,56420,56269,151,56129,291,55994,426,125978,125693,285,125440,538,125216,762,195536,195117,419,194751,785,194439,1097,156,485.838888833,349,1084.810555500,543,1683.782222166,329.838888833,735.810555500,1140.782222166,5830.066665996,13017.726666000,20205.386665992
Texas,TX,1998-01-01,56731,56420,311,56269,462,56129,602,126528,125978,550,125693,835,125440,1088,196325,195536,789,195117,1208,194751,1574,157,488.516944416,351,1089.546666666,545,1690.576388833,331.516944416,738.546666666,1145.576388833,5862.203332992,13074.559999992,20286.916665996
Texas,TX,1998-02-01,57032,56731,301,56420,612,56269,763,127044,126528,516,125978,1066,125693,1351,197056,196325,731,195536,1520,195117,1939,158,491.108888833,352,1093.990000000,547,1696.871111083,333.108888833,741.990000000,1149.871111083,5893.306665996,13127.880000000,20362.453332996
Texas,TX,1998-03-01,57327,57032,295,56731,596,56420,907,127557,127044,513,126528,1029,125978,1579,197788,197056,732,196325,1463,195536,2252,159,493.649166666,354,1098.407500000,549,1703.174444416,334.649166666,744.407500000,1154.174444416,5923.789999992,13180.890000000,20438.093332992
Texas,TX,1998-04-01,57416,57327,89,57032,384,56731,685,127706,127557,149,127044,662,126528,1178,197996,197788,208,197056,940,196325,1671,159,494.415555500,354,1099.690555500,549,1704.965555500,335.415555500,745.690555500,1155.965555500,5932.986666000,13196.286666000,20459.586666000
Texas,TX,1998-05-01,57559,57416,143,57327,232,57032,527,127957,127706,251,127557,400,127044,913,198355,197996,359,197788,567,197056,1299,159,495.646944416,355,1101.851944416,550,1708.056944416,336.646944416,746.851944416,1158.056944416,5947.763332992,13222.223332992,20496.683332992
Texas,TX,1998-06-01,57695,57559,136,57416,279,57327,368,128182,127957,225,127706,476,127557,625,198670,198355,315,197996,674,197788,882,160,496.818055500,356,1103.789444416,551,1710.769444416,336.818055500,747.789444416,1159.769444416,5961.816666000,13245.473332992,20529.233332992
